Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search
J_TBP02R2-381-02BE,J,TBP02R2-381-02BE,footprints:TBP02R2-381-02BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 2BE,Same Sky,TBP02R2-381-02BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-02BE
J_TBP02R2-381-03BE,J,TBP02R2-381-03BE,footprints:TBP02R2-381-03BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 3BE,Same Sky,TBP02R2-381-03BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-03BE
J_TBP02R2-381-04BE,J,TBP02R2-381-04BE,footprints:TBP02R2-381-04BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 4BE,Same Sky,TBP02R2-381-04BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-04BE
J_TBP02R2-381-05BE,J,TBP02R2-381-05BE,footprints:TBP02R2-381-05BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 5BE,Same Sky,TBP02R2-381-05BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-05BE
J_TBP02R2-381-06BE,J,TBP02R2-381-06BE,footprints:TBP02R2-381-06BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 6BE,Same Sky,TBP02R2-381-06BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-06BE
J_TBP02R2-381-07BE,J,TBP02R2-381-07BE,footprints:TBP02R2-381-07BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 7BE,Same Sky,TBP02R2-381-07BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-07BE
J_TBP02R2-381-08BE,J,TBP02R2-381-08BE,footprints:TBP02R2-381-08BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 8BE,Same Sky,TBP02R2-381-08BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-08BE
J_TBP02R2-381-09BE,J,TBP02R2-381-09BE,footprints:TBP02R2-381-09BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 9BE,Same Sky,TBP02R2-381-09BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-09BE
J_TBP02R2-381-10BE,J,TBP02R2-381-10BE,footprints:TBP02R2-381-10BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 10BE,Same Sky,TBP02R2-381-10BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-10BE
J_TBP02R2-381-12BE,J,TBP02R2-381-12BE,footprints:TBP02R2-381-12BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 12BE,Same Sky,TBP02R2-381-12BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-12BE
J_TBP02R2-381-14BE,J,TBP02R2-381-14BE,footprints:TBP02R2-381-14BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 14BE,Same Sky,TBP02R2-381-14BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-14BE
J_TBP02R2-381-16BE,J,TBP02R2-381-16BE,footprints:TBP02R2-381-16BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 16BE,Same Sky,TBP02R2-381-16BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-16BE
